date,review,rating,isEdited,title,userName,developerResponse
2019-08-31 10:35:48,Sangat membantu cukup praktis dan banyak promo,5,False,upik,Upik.R,
2020-12-20 01:49:48,"Semua proses transaksi sangat smooth. 
Utk pengguna baru, gunakan kode: bgwyth agar kamu dapat bonus 👍🏼",5,False,Praktis dan Aman,Moonshine and Coke,"{'id': 20182473, 'body': 'Terima kasih sudah menggunakan DANA. Terus gunakan DANA sebagai dompet digital kamu yaa, mari buat transaksi harian menjadi lebih mudah dan sederhana. Thanks -AY-\r\n', 'modified': '2021-01-05T06:36:03Z'}"
2019-10-06 06:06:16,"Kenapa saya kasih bintang 1? Ya mngkin ada kesalahan sama pihak dana dan menyepelekan hal tersebut. Saya merupakan salah satu dari beberapa org yg sudah mengalami hal ssperti ini. Saya udah 2 kali kecewa sama dana. Pertama, saya transaksi di salah satu merchant yg tertera cashback tapi setelah saya melakukan transaksi ternyata cashback tersebut tidak saya terima padahal saya belum pernah melakukan transaksi di merchant tersebut dalam waktu dekat maupun jauh ( baru pertama kali ) dan waktu itu teman saya juga bertransaksi disana tapi dia mendapatkan cashback tersebut. Saya langsung telp ke customer care dana dan respon mereka kalau saya bukannya tidak mendapatkan cashback melainkan “belum” mendapatkan cashback jadi ya dalam fikiran saya mngkin nnti bakal di balikin nih cashbacknya dan ternyata balasan yang saya terima di email bahwa setelah di investigasi terdapat adanya ketidaksesuaian dalam syarat promo yaitu 1 user 1 device/handphone padahal saya sudah sesuai syarat tersebut dan tidak pernah login ditempat lain sama sekali. Sungguh kecewa dengan balasan tersebut dan saya lalu membalas email tersebut dan menceritakan kejadian yang sebenarnya namun saya dapat balesan dengan inti yang sama juga yaitu mohon untuk login di 1 user 1 device. Ckckckkc
Kedua, hari ini saya baru saja melakukan transaksi di KFC dan ternyata saya tidak mendapatkan potongan sama sekali padahal saya mendapatkan voucher discount 100% dengan maksimal discount 10.000. Voucher tersebut tidak terpakai sama sekali dan masih ada di halaman pocket saya. Hal tersebut membuat saya semakin kecewa.",1,False,Kecewa dengan pelayanan dana,kaka0996,
2021-03-07 22:34:10,Dih najis kalau mau membayar kasih notif apa kek ini apa main bayar sendiri aja hilang duit gua goblok tiba” aja berlangganan apple music goblok banget dah,1,False,Gblk,joeeeee harris,
2019-10-08 15:57:08,"sudah 2hr TOPUP dana blm masuk saldo, makin kesini makin mencret, email cs nya lama pisan",5,False,TOPUP SALDO DANA MAKIN GAK JELAS,synori,
2020-08-19 04:32:41,"Beli pulsa 2 kali yang masuk cuma satu, lagi buru” ditelpin disuruh nunggu doang. Bug atau emang error dari dana nya. Sangat buruk 👎🏿",1,False,Tolong segera kembalikan saldo,jadoel14,"{'id': 17409950, 'body': 'Hi Kak, buat keluhan kamu bisa hubungi kami melalui Whatsapp Customer Care DANA di 081911500445 untuk detail keluhannya. Thanks -TN-\r\n', 'modified': '2020-08-21T05:32:34Z'}"
2021-11-03 14:07:55,"Klaim via email & WA sudah..
di lengkapi dengan Bukti2 otentik sudah..
Di tunggu berhari2 Uang belum di kembalikan..
Janji 3x24 jam saldo kembali, fakta nya di suruh tunggu 7 hari kerja.

Jadi Horor begini sih ini aplikasi !!",1,False,"Rp. 2.0045.000,- Hilang !!",zein marsall,
2019-10-05 09:21:27,"‪tiap transaksi gak dapat promo apapun Lagi.
‪Payah betul. Transaksi normal, gak dapat Token dan benefit voucher pulsa. Voucher sebelumnya HANGUS karna gak bisa di gunakan.
Admin slow respon dan tidak ada jalan keluar.
Hanya suruh nunggu sampai akun normal.
Apa-apa an itu, udah seminggu lebih.",1,False,0 Bintang,Call me By,
2019-10-07 04:19:36,Aplikasi ga jelas di ulasan sudah banyak menipu custumer tarik saldo di aplikasi notifnya sudah kembali tp direkening belum masuk respon dari cs nya juga lama apus aja ni aplikasi pembohongan publik,1,False,Gajelas,monic karunia,
2022-01-20 03:20:47,"Pelayananya Lambat dan GOBLOK apa lagi admin WA,kita tunggu lama dia chat skalinya dia bales pengen cepet di respon,1 mnit ga dibales tiba2 tiket udah di close aja GOBLOK dah pokoknya",1,False,GOBLOK,Darz75,
