date,username,review,rating
2024-05-05 21:07:05,Eddy Supriyanto,good aplikasinya membantu sekali untuk transper uang.,5
2024-05-03 17:55:35,Mainda Suaemu,Sangat membantu,5
2024-05-02 17:46:19,Rizki Febrian,saldo saya hilang 575.000 sampe sekarang gaada penanganan yg serius,1
2024-05-02 02:37:45,Atalla Nanda,"Terakhir kalinya ini saya pakai aplikasi payah ini!, sistem lemot! Ga lagi lagi deh pke dana! Saldo berkurang tetapi transaksi tidak masuk sama sekali, payah sangat payah!",1
2024-05-01 22:07:10,Arfan Kurniawan,Bagus,5
2024-05-01 18:28:00,Hermanhuta gaol Hutagaol123,Oke mntap,4
2024-05-01 15:39:53,Tenza Zangetsu,Kenapa ya pin dana ini kek ubah sendiri ada masalah kah kalau ada masalah tumbuk yok ajg,1
2024-05-01 03:54:20,Yoyos Yp,"Apk ngak jelas, saldo dana hilang terus complain ke operator malah ngebot Mulu Saya hanya minta kejelasan kenapa dana saya bisa kebobolan tanpa persetujuan untuk transaksi yg saya sendiri tidak gunakan",1
2024-05-01 02:58:57,Hidayah,mantap pakai dana,5
2024-05-01 02:53:50,So Lihin,Transaksi cepat dan akurat,4
2024-05-01 02:53:03,Taufik Rahman,lumayan enak jadi simpel buat belanja,4
2024-05-01 02:51:09,Faozi Difraja,bisa di tingkatkan gak pengiriman no minal besar,5
2024-05-01 02:47:12,Angela Lusiana Umbas,good job,5
2024-05-01 02:42:28,Bagus Dewa,makin ok,5
2024-05-01 02:41:11,Azka HarjianRuata,Mao nunggu sampe kapan ngembaliin uang gw DANA ! Suruh buat laporan giliran di buat gak di balik2in dari sebelum lebaran alesan di tinjau mulu!!! Gak malu apa pihak DANA uang kecil kaya gitu aja lama ngembaliinya lewat email gak di tanggapin di tlp cuma iya iya aja Kurang jelas apa bukti SS gw? Tolong lah!,1
2024-05-01 02:38:54,Edi Sutiono,Kurang cepat,2
2024-05-01 02:32:17,Iin Kopana,Kena dana sekarang bisa tf sendiri ke orang padahal tidak tf malah saldo hilang,1
2024-05-01 02:27:53,Yogasyudiprtama Yogas,top,5
2024-05-01 02:23:39,Nur Hilal,Kecewa atas respon pihak DANA yg tidak bisa mengatasi masalah kehilangan dan keamanan yg blm maksimal,1
2024-05-01 02:22:48,Maria,"Akun dana premuim tapi buat ngecek aktifitas transaksi karena perlu nomer token listrik lemot banget lama banget ngeloading nya trus juga tiap buka dana kebanyakan penawaran yang menggangu, instruksi menu nya juga mengganggu jadi nya lemot tiap mau transaksi apapun..perlu diingat hp saya dengan sistem android terbaru, terinstal versi dana terbaru, jaringan internet saya 4G+, saya rajin clear clear canche, emang aja aplikasi dana lemot",1
2024-05-01 02:22:34,Hendry Wira,Merugikan saya uang saya hilang sendiri di dana rp370000 tanpa sepengetahuan saya di transfer sendiri,1
2024-05-01 02:19:48,Yazid Ziid,mantap,5
2024-05-01 02:14:31,Hajiah Refpani,"Hatihati guys dana sudah tidak aman, sya serung mengalami penipuan . Uang saya selalu hilang di dana !!!!",1
2024-05-01 02:12:22,Reviendra keanu,oke bgt,5
2024-05-01 02:11:59,Dimas Sis,Sangat membantu,5
2024-05-01 02:10:39,Tini Satria,kalau masuk ke akun lama loading nya,4
2024-05-01 02:10:31,Akbar Pratama,Aplikasinya membantu banget,5
2024-05-01 02:09:43,Rapa Iza,sangat matap,5
2024-05-01 02:08:10,Odos Doang,Good 1000%,5
2024-05-01 02:06:58,Sahlan Casper,Gak bisa makuk ko,1
2024-05-01 02:06:55,Wulan Purnama,👍👍👍👍,5
2024-05-01 02:06:44,Widi Ana,App cukup bagus dan semoga lebih baik lagi,5
2024-05-01 02:06:24,Slamet Hariadi,sangat membantu,5
2024-05-01 02:04:28,Daffa Permana,👍👍👍,5
2024-05-01 01:56:34,VR TV CHANNEL,Bgus,5
2024-05-01 01:51:56,Rudy Nay,mantap pelayanan cepat,5
2024-05-01 01:50:58,Irvan Arif,di tunggu untuk dana cicilnya ya sangat membantu,5
2024-05-01 01:50:23,Nasya Achdiani,"Oke banget👍selama ini GK ada kendala semoga aja kedepan ny makin lebih baik,",5
2024-05-01 01:49:11,Kucing Alas,Dana kenapa kirim uang ke bca sedang di proses terus?,2
2024-05-01 01:48:05,erviencool,ACC,5
2024-05-01 01:47:22,Cpt Herm,good apl...,5
2024-05-01 01:46:26,FahriAhmad Fahri,Kurang bagus,3
2024-05-01 01:44:49,metak syah,😊😊😊,5
2024-05-01 01:44:31,Khairil Ilham,sangat bagus,5
2024-05-01 01:38:25,winarto wien,"parah bgt, tiba2 uang di dana otomatis ke transfer ke rekening orang tanpa saya ketahui.",1
2024-05-01 01:36:50,hari pras,bagus,5
2024-05-01 01:35:24,Katamsi 1234,apk nya bagus,5
2024-05-01 01:29:27,Fuad Hasim,Aplikasi kacau,2
2024-05-01 01:28:47,Yudi Yusyanto21,Kenapa aku mau masuk ke akun sendiri gk bisa padahal nomor udh bener,1
2024-05-01 01:27:30,Andanel Pratama,baik,5
2024-05-01 01:26:51,Eksan Kusumo,ok bos,5
2024-05-01 01:16:46,Surya Atack,mantap,5
2024-05-01 01:16:00,Xzan Udhin,Bagus,5
2024-05-01 01:15:27,Kepin Aripin,Mantap,1
2024-05-01 01:14:31,Deden Ferdiansyah,Sangat membantu,5
2024-05-01 01:14:02,Ibu Sundariyah,pihak dana apakah lg gangguan,1
2024-05-01 01:12:10,Indah Ponsel,ok,5
2024-05-01 01:10:42,Ahmadoktafebriana Ahmadoktafebrian,Saya suka bnget,5
2024-05-01 01:10:24,Efendi Pendi pendi,sangat membantu.....,5
2024-05-01 01:09:08,Rafiki Rafiki,Suka bangt pakk dana🤗,5
2024-05-01 01:04:31,Juli Anto,ok,5
2024-05-01 01:01:26,Santa Dewi,Sangat bagus,5
2024-05-01 00:59:38,Abdul khalim Fadoli,cukup memuaskan terima kasih,5
2024-05-01 00:58:28,Helmi Rahman,"Dana sekarang banyak penipuan, keamanan nya kurang ketat sodara saya banyak yang tertipu",1
2024-05-01 00:56:12,Segawon,Ok,5
2024-05-01 00:54:33,Khailir Juanda,sangat bagaus,5
2024-05-01 00:53:59,Halomoan Siregar,Sangat baik,5
2024-05-01 00:53:30,Cain Saputra,mantul abis,5
2024-05-01 00:52:48,Endrik Faturohman,good,5
2024-05-01 00:51:45,Encep Anggih nugraha,goood,5
2024-05-01 00:49:57,chandra muhamad nurdin,Alhamdulillah,5
2024-05-01 00:48:38,Amri Amri,bagus,5
2024-05-01 00:47:05,Deris Isnandar,membantu sekali,5
2024-05-01 00:46:13,Arman To,Mantap pokoknya 🙃,5
2024-05-01 00:45:32,Muhammad ayub Ayub,Memudah kan saya kemana2,5
2024-05-01 00:42:22,A'rman Shehrazat,mantap lah,5
2024-05-01 00:40:47,Servis Sepeda,"Status udah berhasil tp belum nyampe juga ke no rek tujuan , chat Diana harus ada SS mutasi udh tau ngirim ke kampung ga bsa pake BRIMO , customer servisnya jga kekeh harus ada bukti itu padahal transaksi pake prioritas hadeehhhhhh , danaku hilang buat bayar kontrakan",1
2024-05-01 00:40:45,maimun mun,Sangat membantu di keseharian saya,5
2024-05-01 00:39:04,atdrian saputra,sangat membantu,5
2024-05-01 00:38:19,Rangga Nurohman,"transaksi udah 2 jam masih proses aja, tapi saldo dana nya berkurang aneh!!!!!",1
2024-05-01 00:37:13,AHMAD NUR HIDAYATULLAH,Saya agak kecewa dengan dana saya melakukan tf pada selasa jam 21.53 senila 781 k dari dana ke sea bank sampai rabu jam 00.36 saldo tidak kunjung masuk,1
2024-05-01 00:32:33,Aslanputra88coom. Id Aslan,🙈,5
2024-05-01 00:31:56,Riko Dwiyan arianto,"Buntang 1 aja , mau upgrade ke premium gak bisa terus",1
2024-05-01 00:31:40,Akhmad Yusron,bagus,5
2024-05-01 00:24:58,Lado Merah,sangat baik,4
2024-05-01 00:24:17,Roy,bagus,3
2024-05-01 00:23:31,Al Asrudin,mantap pokok nya,5
2024-05-01 00:20:15,Eva Lyana,sangat membantu dalam bertransaksi,5
2024-05-01 00:18:23,ibhenk #04,kreenn,5
2024-05-01 00:18:05,Dunia Ponsel,sangat membantu,5
2024-05-01 00:14:26,Asep Wandi,ok,5
2024-05-01 00:14:19,vaniya,ok,3
2024-05-01 00:11:51,Nama Depan,"akun ada yang ngebajak, saldo tiba² hilang, saat di cek riwayat transaksi ada transfer ke orang yang tidak dikenal dan bukan saya yang transfer nya. Aplikasi rawan pembajakan, pihak dana tidak memberikan solusi",1
2024-05-01 00:11:02,Ajis Pratama,Bagus,5
2024-05-01 00:09:58,Latif Hasan,"Buat yang belum punya dana mending hati"" apk imi kadang nyusahin contoh akun saya nga tau kenapa sehabis saya transaksi tf saya login kembali itu akin saya udah dibekukan dan masih ada isinya waktu saya betukin hubungin gmail pihak dana dan ikutin arahan nya akun saya masih belum dibuka/ Masih dibekukan dan ini sangat susah ribet hati"" kawan",1
2024-05-01 00:09:48,BAKMIE AYAM KULIT MANIS KEMAYORAN Bakmie Puding,"Saya tidak suka kalau tiap kirim uang harus administrasi terus, mana administrasi gede lagi 2,500 rugi banget saya tolong kalau bisa jangan ada pakai administrasi terus woi",1
2024-05-01 00:08:37,Azri Olin,keren,5
2024-05-01 00:08:01,Dani Rhmadani,Sangat sangat baik,5
2024-05-01 00:07:36,Fitri Adila,Uang tiba tiba ketransfer domper digital 3.000.900 sedih bgt . Dan pihak dana gak tanggung jawab . Alhasil ikhlasin,1
2024-05-01 00:06:18,Soni Ardianto,Manta,5
2024-05-01 00:06:10,pintu123 45,oke,1
2024-05-01 00:05:42,Kokmang 123,Kenapa ho oppo a37 dak biaa buka dana pada hal sudah di dowload kok gak di buka dana. Tolong beritahu solusinya.,4
2024-05-01 00:05:15,Haris Zd,mantap,5
2024-05-01 00:00:16,Reza Al f,"Aplikasi rawan pembajakan, saldo tiba tiba hilang, dan tidak ada solusi dari pihak dana nya",1
2024-04-30 23:53:52,Upik Sirpaa,mudah untuk melakukan transaksi dan aman,5
2024-04-30 23:52:52,Novita Indah wulandari,mantap 👍,5
2024-04-30 23:52:43,Isa Isa,Sangat membantu,5
2024-04-30 23:51:02,Muztaba,"4 tahun saya pake dana belum pernah bermasalah sama sekali,banyak orang² di fb nyaranin jangan nyimpen duit di dana, awalnya saya ga percaya karna saya pake aman² aja, dan apesnya hari ini saya trf dari dana ke seabank,saldo dana udah kepotong tapi gamasuk ke sea bank nya,sedangkan di komplain malah suruh komplain ke pihak sea bank. Emang bener ini aplikasi paling sampah soal keamanan dan pelayanan",1
2024-04-30 23:49:09,Zulfah Qurratu,APK KONTOLLLL L... KNP SELALU MELALUKAN PEMBAYARAN TDK DI KENAL KNP SALDO SY SELALU HILANG ....DI SAAT MEMALUKAN KOMPLEN MALAH TDK DI GUBRISSS.DASAR APAK BABY,1
2024-04-30 23:44:41,Heri Agung,membantu saya dalam pembayaran,5
2024-04-30 23:43:55,Yoyo Khoiriyah,cepat kirim pake dana nyeak nyeak,5
2024-04-30 23:41:07,Jajat Sudrajat,sangat puas 👍👍,5
2024-04-30 23:41:07,Lilis Karlina,mantap,5
2024-04-30 23:40:32,rizky novianty,Beberapa minggu terakhir saya tidak bisa cek mutasi/aktivitas saya padahal koneksi internet baik dan app sudah diupdate...,3
2024-04-30 23:40:15,Yoga Martian,keren,5
2024-04-30 23:38:40,Amin Deddy Riyadi,Ok,5
2024-04-30 23:38:36,Sairin Irin,mantap 👍,5
2024-04-30 23:35:48,Hilyaa Hilya,👍👍👍👍👍,5
2024-04-30 23:31:01,Puryanto Ganteng,Kenapa saya gak ada dana pay letter nya ka tolong di bantu ya,5
2024-04-30 23:29:38,Bagas uhuy,"aplikasi dana makin buruk makin gk jelas,saldo tiba tiba ilang ilang,di laporkan polisi bagus nya ni",1
2024-04-30 23:28:39,Png Akbar,mantap,5
2024-04-30 23:28:01,Ta Kim,sangat bgus,5
2024-04-30 23:23:15,Put Ra,antap,5
2024-04-30 23:23:00,syhda893_ syuhada,ngelag,1
2024-04-30 23:22:09,Mardoy alfarisqi86,Aneh engga bisa ke instal di hp oppo a3s,1
2024-04-30 23:20:43,billy andreand,oke gas,5
2024-04-30 23:20:03,Gunawan Ahmad,ga bisa transfer kenapa ini,1
2024-04-30 23:18:20,Roberto Sihotang,Bagus,5
2024-04-30 23:17:32,dan biru,"Udah lama pakek aplikasi dana, dan hari ini nyoba fitur e-commerce Tapi udah sejam lebih, transaksi selalu gagal Mohon bantuannya",3
2024-04-30 23:16:21,Kustandi Abdurahman,"Segera unistal aplikasi penipu ini, saldo saya dirampok sama lazada..aplikasi penipu",1
2024-04-30 23:12:01,Rozak Channel,good,5
2024-04-30 23:11:21,DEDE SAHIDIN,hebat,5
